""|"52 week"|"Beta"|"CDP Score"|"Div/yield"|"EBITD margin"|"EPS"|"Employees"|"Inst. own"|"Mkt cap"|"Net profit margin"|"Open"|"Operating margin"|"P/E"|"Range"|"Return on average assets"|"Return on average equity"|"Shares"|"Vol / Avg."|"Vol."|"address"|"city"|"companyName"|"companySummary"|"exchange"|"management"|"state"|"symbol"|"website"|"zip"
"63"|"57.02 - 102.50"|"1.62"|"-"|"    -"|"-"|"3.17"|"1,789"|"94%"|"3.35B"|"7.44%"|"87.87"|"9.63%"|"27.19"|"85.67 - 88.53"|"9.86%"|"19.11%"|"36.67M"|"767,612.00/604,807.00"|""|"1251 McKay Dr"|"SAN JOSE"|"Synaptics, Incorporated"|""|" NASDAQ"|""|"CA"|"SYNA"|"http://www.synaptics.com./"|"95131-1709"
"64"|"13.91 - 52.54"|"    -"|"-"|"    -"|"-"|"-0.79"|"3,898"|"48%"|"12.42B"|"-12.70%"|"17.52"|"-9.46%"|"    -"|"17.31 - 17.91"|"-5.69%"|"-8.38%"|"697.73M"|"16.35M/20.79M"|""|"1355 Market St Ste 900"|"SAN FRANCISCO"|"Twitter Inc"|""|" NYSE"|""|"CA"|"TWTR"|"https://twitter.com"|"94103-1337"
"65"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Onbekend Nederlands Adres"|"Onbekend"|"Uber International C.V."|""|"  quotes & news - Google Finance"|""|"0000"|""|"https://www.uber.com"|"AA"
"66"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"39 Tesla"|"Irvine"|"Vizio, Inc."|""|"  quotes & news - Google Finance"|""|"CA"|""|"http://www.vizio.com"|"92618-4603"
"67"|"43.25 - 93.43"|"1.17"|"-"|"    -"|"-"|"2.34"|"19,000"|"67%"|"21.95B"|"19.97%"|"51.59"|"23.93%"|"22.09"|"51.31 - 52.10"|"9.80%"|"19.37%"|"123.59M"|"2.98M/1.68M"|""|"3401 Hillview Ave"|"PALO ALTO"|"VMware, Inc."|""|" NYSE"|""|"CA"|"VMW"|"http://www.vmware.com/"|"94304-1320"
"68"|"60.00 - 81.01"|"0.82"|"-"|"0.14/0.70"|"-"|"2.61"|"11,300"|"94%"|"193.78B"|"54.45%"|"80.25"|"67.21%"|"30.69"|"79.90 - 80.69"|"16.35%"|"26.20%"|"1.93B"|"7.19M/8.53M"|""|"PO Box 8999"|"SAN FRANCISCO"|"Visa Inc"|""|" NYSE"|""|"CA"|"V"|"https://usa.visa.com/"|"94128-8999"
"69"|"47.32 - 93.62"|"1.98"|"-"|"    -"|"-"|"-1.52"|"5,200"|"106%"|"14.75B"|"-25.08%"|"77.35"|"-22.71%"|"    -"|"75.51 - 77.64"|"-12.42%"|"-28.78%"|"116.00M"|"2.27M/2.05M"|""|"6230 Stoneridge Mall Road, Suite 200"|"PLEASANTON"|"Workday Inc"|""|" NYSE"|""|"CA"|"WDAY"|"http://www.workday.com"|"94588"
"70"|"86.25 - 122.08"|"1.36"|"-"|"0.71/1.44"|"-"|"5.36"|"185,000"|"62%"|"159.40B"|"19.09%"|"98.50"|"25.64%"|"18.40"|"98.18 - 98.89"|"13.09%"|"26.11%"|"1.63B"|"6.15M/6.66M"|""|"500 S Buena Vista St"|"BURBANK"|"Walt Disney Co"|""|" NYSE"|""|"CA"|"DIS"|"http://thewaltdisneycompany.com"|"91521-0001"
"71"|"44.50 - 58.76"|"0.89"|"-"|"0.38/3.11"|"-"|"4.07"|"264,700"|"78%"|"240.13B"|"24.84%"|"48.62"|"36.41%"|"11.86"|"48.06 - 48.94"|"1.22%"|"11.85%"|"5.08B"|"24.89M/17.82M"|""|"420 Montgomery St"|"SAN FRANCISCO"|"Wells Fargo & Co"|""|" NYSE"|""|"CA"|"WFC"|"https://www.wellsfargo.com"|"94104-1207"
"72"|"14.53 - 52.51"|"2.02"|"-"|"    -"|"-"|"-0.44"|"3,826"|"95%"|"1.61B"|"-14.46%"|"20.61"|"-4.17%"|"    -"|"20.14 - 21.30"|"-11.73%"|"-12.83%"|"66.54M"|"2.23M/1.75M"|""|"140 New Montgomery St Fl 9"|"SAN FRANCISCO"|"Yelp Inc"|""|" NYSE"|""|"CA"|"YELP"|"http://www.yelp.com"|"94105-3705"
"73"|"21.51 - 66.73"|"1.05"|"-"|"    -"|"-"|"1.60"|"11,600"|"87%"|"28.98B"|"22.52%"|"25.31"|"28.51%"|"15.78"|"25.00 - 25.33"|"11.61%"|"32.11%"|"1.14B"|"6.34M/12.61M"|""|"2065 Hamilton Ave"|"SAN JOSE"|"eBay Inc"|""|" NASDAQ"|""|"CA"|"EBAY"|"http://www.ebay.com/"|"95125-5904"
"74"|"52.60 - 82.90"|"1.54"|"-"|"    -"|"-"|"-0.07"|"19,000"|"88%"|"51.44B"|"-1.41%"|"76.25"|"1.09%"|"    -"|"75.88 - 76.54"|"-0.86%"|"-2.10%"|"670.93M"|"2.13M/3.51M"|""|"1 Market"|"SAN FRANCISCO"|"salesforce.com, inc."|""|" NYSE"|""|"CA"|"CRM"|"http://www.salesforce.com/in/"|"94105-1596"
